GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_02831	10.77	0.14	7.51	1.75	3.42	0.87	0.86	2.40	3.22	0.94	2.40	1.15	3.84	1.40	0.51	0.89	0.17	3.25	0.74	0.87	5.44	3.18	0.28	0.57	9.46	4.06	9.28
G232_02832	7.86	1.57	4.84	2.17	2.49	1.53	0.96	1.05	4.40	4.94	10.93	2.23	3.73	2.26	4.51	1.46	2.69	5.08	1.09	0.68	5.15	2.26	2.17	0.58	12.54	4.03	7.54
G232_02833	9.44	0.49	5.49	1.73	2.64	1.42	0.91	1.49	3.82	1.92	10.02	1.69	4.40	3.37	3.95	1.27	1.59	3.25	1.42	1.16	5.67	1.82	0.84	1.03	10.57	4.40	10.28
G232_02834	10.12	2.17	5.69	1.73	3.64	1.65	1.22	1.66	3.78	5.29	8.80	1.70	3.12	2.66	3.48	0.93	5.62	5.47	1.55	0.81	6.17	3.51	2.68	1.08	12.20	5.66	10.82
G232_02835	6.95	1.53	8.67	1.36	5.54	2.39	1.58	1.33	5.14	6.36	13.43	2.67	5.95	3.45	3.52	0.71	5.44	5.05	1.66	1.64	7.09	2.48	2.60	1.98	10.93	6.07	11.72
G232_02836	10.14	0.04	7.50	2.18	5.32	2.00	0.87	1.32	4.72	2.24	10.14	1.25	4.09	2.07	5.51	0.83	0.15	4.46	1.55	1.32	6.00	3.23	0.12	0.65	11.15	4.65	10.96
G232_02837	6.51	0.13	5.41	1.56	4.04	1.51	0.87	1.01	4.08	2.04	10.41	1.35	2.71	2.52	2.91	0.00	0.20	4.56	1.71	0.95	5.15	2.05	0.10	0.39	11.07	2.81	11.08
G232_02838	6.77	0.17	7.14	1.44	4.77	1.57	1.12	0.16	3.24	3.28	8.90	1.32	2.12	2.58	2.93	0.01	0.07	4.64	1.40	1.41	6.61	1.24	0.58	1.32	8.90	1.87	7.43
G232_02839	5.19	1.44	4.56	1.45	2.82	1.91	1.09	1.79	4.23	4.42	14.06	2.00	4.66	3.75	4.50	0.39	3.11	5.20	1.06	0.74	7.09	2.03	0.98	0.46	15.71	5.25	10.58
G232_02840	5.40	0.65	5.45	2.04	4.06	0.60	0.90	0.68	3.80	2.43	7.96	2.02	3.13	2.29	4.13	0.26	0.56	4.99	1.50	0.58	7.36	2.41	0.81	1.04	10.02	5.19	8.72
G232_02841	10.77	0.16	6.23	2.33	3.63	1.26	0.71	1.61	4.05	3.64	9.16	1.04	3.72	2.50	3.46	0.55	0.00	4.58	0.86	0.68	5.34	1.90	0.38	1.18	13.14	5.24	11.41
G232_02842	10.85	0.66	6.52	2.14	3.51	1.02	1.34	2.06	2.61	1.56	10.84	2.33	4.33	2.39	4.06	0.64	0.28	4.70	1.24	0.57	6.50	2.31	0.19	1.51	10.99	4.00	9.42
