GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_00944	0.5966	0.3357	0.6277	1.1556	0.5249	0.6739	0.4458	0.9801	0.8311	0.3253	1.2960	0.9254	0.6730	0.8857	0.8830	0.8571	0.0973	0.7236	0.9273	0.6471	0.7923	0.7338	0.0296	0.8561	0.8146	0.7184	0.7095
G232_00945	0.8949	7.9510	0.8642	0.6615	0.6888	1.7478	1.3735	0.6821	0.8816	5.6613	1.6602	0.8772	0.7282	0.9179	1.3567	1.0476	8.2840	1.0863	0.9455	1.2101	0.5535	1.0065	8.0148	0.6115	1.1045	0.7072	0.8299
G232_00946	0.4054	0.6434	0.9368	0.4903	0.5166	0.9913	0.7349	1.5828	0.8311	0.4973	1.3788	0.6447	0.5605	1.2179	1.3392	0.9333	0.1712	0.7060	0.7273	0.2689	0.6310	0.7435	0.4778	1.5683	0.9329	0.4768	0.6661
G232_00947	0.7800	1.9301	0.7728	0.6770	0.6494	0.9739	0.6928	0.6026	0.7165	0.9704	1.4434	0.7018	0.5329	0.6714	1.1199	0.8762	1.7004	0.9137	0.9455	0.3697	0.7742	0.8539	1.6847	0.8921	0.7018	0.7824	0.9601
G232_00948	0.6145	1.1748	0.8132	0.7432	0.6826	0.6391	1.0482	0.8477	0.7476	0.9194	0.8490	0.4123	0.6030	0.7250	0.3918	0.6000	0.8638	0.5616	1.0364	0.7143	0.8671	0.7922	1.0148	0.8777	0.8566	0.5040	0.7183
G232_00949	0.7939	0.1049	0.7634	0.7354	0.7116	0.4870	0.6205	0.9536	0.7010	0.3118	1.2692	0.7895	1.0531	0.8107	1.3246	0.4667	0.3541	0.9912	0.7939	0.9160	0.6877	1.0065	0.2660	0.4604	0.7292	0.6080	0.9610
G232_00950	0.6928	0.1538	0.7836	0.8599	0.6266	0.6087	1.3133	0.7881	0.8214	0.5645	1.3910	0.3202	0.5775	0.8000	0.9649	0.5810	0.0623	0.9613	0.6182	0.7479	0.7071	0.5682	0.0936	0.4820	0.7757	0.7376	0.8432
G232_00951	0.9802	0.1259	0.7473	0.6809	0.7137	0.5304	0.4277	0.6821	0.7437	0.6505	1.4653	0.3991	0.9554	0.5250	1.5526	0.3905	0.0973	0.8468	0.8000	0.4034	0.5665	0.9578	0.1527	0.8273	0.9222	0.8848	0.8468
G232_00952	0.9376	0.5175	0.7352	0.4047	0.7241	0.9217	0.2229	1.1391	0.9010	0.7285	1.3057	1.3684	0.8280	0.7000	1.2456	0.3238	0.1051	0.9718	0.7455	0.5294	0.7187	1.2143	0.3350	0.7986	0.8154	0.7392	0.6944
G232_00953	0.4906	0.0350	0.5538	0.1790	0.6598	0.5522	0.5542	0.6755	1.2058	0.3737	1.7698	1.0044	1.1932	1.3321	1.1725	0.4000	0.0389	1.0775	1.4242	1.0840	0.7574	0.6721	0.0493	1.5108	0.7246	1.1504	0.9150
G232_00954	0.7265	2.9930	0.8522	0.6926	0.4979	1.3739	1.0241	1.2053	0.7417	2.7419	1.4543	0.6974	0.7431	0.8786	1.3713	1.2095	4.3930	1.2165	1.0121	0.9160	0.8400	0.7825	4.3054	0.9281	0.7376	0.6928	0.7112
G232_00955	0.9643	1.0629	0.7567	0.7821	0.8029	0.7913	0.5904	0.7616	0.8874	0.8710	1.2558	0.6930	0.5520	0.8357	1.5117	0.6762	0.9650	0.9278	0.8545	0.6555	0.7445	0.7922	0.8473	0.6115	0.9291	0.7488	0.8928
G232_00956	0.7681	1.0559	0.6492	1.0233	0.4627	1.6261	1.3313	1.3642	0.6738	1.0161	1.4726	1.0526	0.4119	1.2786	1.2632	0.5619	1.4903	0.9261	1.1939	1.4370	0.9148	0.7727	0.8079	0.5827	0.7597	0.7168	0.9424
G232_00957	0.7790	0.1329	0.8347	0.6693	0.6286	0.7957	0.5482	0.6026	0.8466	0.5457	1.3544	0.8377	0.8323	0.8786	1.2573	0.8952	0.0000	0.8433	0.8485	0.6303	0.7987	0.5682	0.2315	0.6259	0.9268	0.6608	0.7183
G232_00958	0.7473	0.5594	0.7460	0.6615	0.9025	1.3261	1.0301	0.9868	0.9029	0.8360	1.7759	0.5307	0.8259	0.8500	1.1228	1.0762	1.1946	0.7130	0.6848	1.7059	0.8194	0.4221	0.7734	0.8417	0.9207	0.7104	0.7352
G232_00959	1.0912	0.0909	0.9046	1.0311	0.9398	0.5913	0.9880	1.0132	0.7942	0.6371	1.2594	0.6754	0.9533	0.8286	1.3713	0.6476	0.0233	0.7218	0.9818	0.5378	0.9587	1.0519	0.0788	0.5468	0.8467	0.8480	0.9309
G232_00960	0.9742	1.0000	0.7272	0.7938	0.5311	0.9870	0.7410	0.2583	0.8233	0.7258	1.5591	1.2193	0.9958	0.8536	1.0965	1.5905	0.7510	1.0599	0.7152	1.4118	0.5871	0.5162	0.8424	0.6187	0.8406	0.9920	1.1904
G232_00961	1.0168	1.2657	0.6223	0.5370	0.8029	0.8739	0.6867	0.3974	1.0485	1.4570	1.5384	0.6316	0.9851	0.9929	1.8392	0.4952	1.1712	0.8627	0.5697	0.6471	0.5432	0.4383	0.6897	0.2518	0.7681	0.9840	0.8016
G232_00962	1.0852	0.0000	0.9933	0.6809	0.7573	0.9652	0.5663	0.8940	0.5961	0.7930	1.2887	0.5877	1.1720	0.9107	1.3129	0.9810	0.0661	0.6056	0.7273	0.6723	0.6516	0.8312	0.0690	0.2590	0.9832	0.7776	0.8335
G232_00963	0.5738	7.7902	1.0578	0.5331	0.3091	1.1870	3.5120	1.0795	0.8796	3.7366	1.3630	0.6711	0.8004	0.6750	0.7602	0.5714	8.4358	0.9912	1.0545	1.0168	0.8697	1.7955	6.2167	0.5324	0.8421	1.1296	0.7724
G232_00964	0.9881	0.1049	1.3065	1.1751	1.0747	0.4261	0.8072	0.8278	0.7184	0.5484	1.7333	0.8596	0.7113	0.6250	0.8187	0.9238	0.0272	0.7148	0.6545	0.8151	0.6103	0.7955	0.0936	0.3741	0.7750	0.6736	0.8317
G232_00965	0.6482	1.8951	0.6196	0.9066	0.8631	1.2000	1.1205	0.8079	0.7476	1.3925	1.4093	0.5789	0.8747	0.8214	0.9444	1.1714	2.1089	0.7500	1.0303	0.8487	0.8955	0.6331	2.0148	0.5396	0.7330	0.9472	0.8158
G232_00966	0.8147	0.0000	0.6331	0.5953	0.7075	0.6783	0.7048	0.5232	0.8544	0.4919	1.3837	0.6754	0.8365	1.1607	1.3567	0.6476	0.0156	0.9278	0.4242	0.4790	0.7652	0.7695	0.1379	0.7698	0.7277	0.7200	0.7582
G232_00967	0.7889	0.6294	0.8091	0.6965	0.7925	0.8696	0.8554	0.7086	0.6699	0.6210	1.0999	0.6711	0.9469	0.8214	1.1111	0.7619	0.2840	0.6831	0.6667	0.8487	0.9265	0.7727	0.5025	1.1511	0.7864	0.8032	0.9123
