GENE	COVERAGE	STRAIN	GROUP
G232_05570	0.9772	Rstd	R
G232_05570	1.0000	SM102	S
G232_05570	0.8495	SM104	S
G232_05570	0.8638	SM105	S
G232_05570	0.6556	SM108	S
G232_05570	0.8783	SM109	S
G232_05570	0.7530	SM11	S
G232_05570	0.7152	SM122	S
G232_05570	0.5961	SM13	S
G232_05570	1.0968	SM14	S
G232_05570	1.2266	SM18	S
G232_05570	0.6360	SM24	S
G232_05570	0.9236	SM27	S
G232_05570	1.0536	SM28	S
G232_05570	1.3158	SM29	S
G232_05570	0.8857	SM35	S
G232_05570	1.2568	SM36	S
G232_05570	0.7923	SM42	S
G232_05570	0.6424	SM48	S
G232_05570	0.3866	SM57	S
G232_05570	0.5484	SM66	S
G232_05570	0.8149	SM67	S
G232_05570	0.9557	SM72	S
G232_05570	0.3309	SM74	S
G232_05570	0.8833	SM84	S
G232_05570	0.7168	SM9	S
G232_05570	0.8450	SM91	S
G232_05571	0.8969	Rstd	R
G232_05571	0.2308	SM102	S
G232_05571	0.8078	SM104	S
G232_05571	0.7782	SM105	S
G232_05571	0.8071	SM108	S
G232_05571	0.7174	SM109	S
G232_05571	0.5542	SM11	S
G232_05571	0.8940	SM122	S
G232_05571	0.7922	SM13	S
G232_05571	0.5215	SM14	S
G232_05571	1.3118	SM18	S
G232_05571	0.6447	SM24	S
G232_05571	0.7834	SM27	S
G232_05571	0.8179	SM28	S
G232_05571	1.0819	SM29	S
G232_05571	0.5143	SM35	S
G232_05571	0.0934	SM36	S
G232_05571	0.8768	SM42	S
G232_05571	0.7636	SM48	S
G232_05571	0.7563	SM57	S
G232_05571	0.7174	SM66	S
G232_05571	0.9123	SM67	S
G232_05571	0.2315	SM72	S
G232_05571	0.5755	SM74	S
G232_05571	0.9108	SM84	S
G232_05571	0.6864	SM9	S
G232_05571	0.7972	SM91	S
G232_05572	0.9415	Rstd	R
G232_05572	0.2797	SM102	S
G232_05572	1.0444	SM104	S
G232_05572	0.8054	SM105	S
G232_05572	0.4979	SM108	S
G232_05572	0.5609	SM109	S
G232_05572	0.4819	SM11	S
G232_05572	0.6689	SM122	S
G232_05572	0.7204	SM13	S
G232_05572	0.5780	SM14	S
G232_05572	1.4714	SM18	S
G232_05572	0.5570	SM24	S
G232_05572	0.6412	SM27	S
G232_05572	0.8286	SM28	S
G232_05572	1.5351	SM29	S
G232_05572	0.5619	SM35	S
G232_05572	0.2802	SM36	S
G232_05572	0.8187	SM42	S
G232_05572	0.6727	SM48	S
G232_05572	0.7059	SM57	S
G232_05572	0.6503	SM66	S
G232_05572	0.9091	SM67	S
G232_05572	0.2562	SM72	S
G232_05572	0.4748	SM74	S
G232_05572	0.8863	SM84	S
G232_05572	0.7456	SM9	S
G232_05572	0.9398	SM91	S
G232_05573	0.7939	Rstd	R
G232_05573	0.6084	SM102	S
G232_05573	0.7917	SM104	S
G232_05573	0.8132	SM105	S
G232_05573	0.7220	SM108	S
G232_05573	0.6130	SM109	S
G232_05573	0.5422	SM11	S
G232_05573	0.5762	SM122	S
G232_05573	0.8757	SM13	S
G232_05573	0.9382	SM14	S
G232_05573	1.3167	SM18	S
G232_05573	0.8333	SM24	S
G232_05573	0.7771	SM27	S
G232_05573	0.9500	SM28	S
G232_05573	1.3216	SM29	S
G232_05573	0.4571	SM35	S
G232_05573	0.7549	SM36	S
G232_05573	0.8732	SM42	S
G232_05573	0.9818	SM48	S
G232_05573	0.6134	SM57	S
G232_05573	0.5897	SM66	S
G232_05573	0.8474	SM67	S
G232_05573	0.5764	SM72	S
G232_05573	0.4173	SM74	S
G232_05573	0.9024	SM84	S
G232_05573	0.7968	SM9	S
G232_05573	0.8583	SM91	S
G232_05574	0.9435	Rstd	R
G232_05574	3.1329	SM102	S
G232_05574	0.7836	SM104	S
G232_05574	0.6265	SM105	S
G232_05574	0.8672	SM108	S
G232_05574	1.0000	SM109	S
G232_05574	0.9398	SM11	S
G232_05574	0.5364	SM122	S
G232_05574	0.7029	SM13	S
G232_05574	1.6855	SM14	S
G232_05574	1.1864	SM18	S
G232_05574	0.5789	SM24	S
G232_05574	0.6369	SM27	S
G232_05574	0.8643	SM28	S
G232_05574	0.8918	SM29	S
G232_05574	1.0381	SM35	S
G232_05574	3.0700	SM36	S
G232_05574	0.7042	SM42	S
G232_05574	1.0364	SM48	S
G232_05574	0.6471	SM57	S
G232_05574	0.8348	SM66	S
G232_05574	0.8019	SM67	S
G232_05574	3.0099	SM72	S
G232_05574	0.9209	SM74	S
G232_05574	0.7994	SM84	S
G232_05574	0.6192	SM9	S
G232_05574	0.7865	SM91	S
G232_05575	0.7166	Rstd	R
G232_05575	1.0140	SM102	S
G232_05575	0.6142	SM104	S
G232_05575	0.5798	SM105	S
G232_05575	0.6598	SM108	S
G232_05575	0.7870	SM109	S
G232_05575	0.5783	SM11	S
G232_05575	0.4967	SM122	S
G232_05575	0.4485	SM13	S
G232_05575	1.1210	SM14	S
G232_05575	1.1425	SM18	S
G232_05575	0.8202	SM24	S
G232_05575	0.4798	SM27	S
G232_05575	0.8786	SM28	S
G232_05575	1.1550	SM29	S
G232_05575	0.5619	SM35	S
G232_05575	1.4319	SM36	S
G232_05575	0.7412	SM42	S
G232_05575	0.5636	SM48	S
G232_05575	1.0084	SM57	S
G232_05575	0.9071	SM66	S
G232_05575	0.9416	SM67	S
G232_05575	0.9704	SM72	S
G232_05575	0.9424	SM74	S
G232_05575	0.7109	SM84	S
G232_05575	0.5120	SM9	S
G232_05575	0.7281	SM91	S
G232_05576	0.5629	Rstd	R
G232_05576	0.2308	SM102	S
G232_05576	0.8978	SM104	S
G232_05576	0.6148	SM105	S
G232_05576	0.5083	SM108	S
G232_05576	0.8348	SM109	S
G232_05576	0.5904	SM11	S
G232_05576	0.0861	SM122	S
G232_05576	1.2330	SM13	S
G232_05576	1.0108	SM14	S
G232_05576	1.4446	SM18	S
G232_05576	0.9912	SM24	S
G232_05576	0.6921	SM27	S
G232_05576	0.9679	SM28	S
G232_05576	1.1579	SM29	S
G232_05576	0.3619	SM35	S
G232_05576	0.5447	SM36	S
G232_05576	1.2993	SM42	S
G232_05576	0.8121	SM48	S
G232_05576	0.8824	SM57	S
G232_05576	0.7045	SM66	S
G232_05576	0.5422	SM67	S
G232_05576	0.7980	SM72	S
G232_05576	1.1439	SM74	S
G232_05576	0.8185	SM84	S
G232_05576	0.8608	SM9	S
G232_05576	0.8264	SM91	S
G232_05577	0.7602	Rstd	R
